submission_id,submitted_answer,submission_time,exercise_id,is_correct,student_id,category
1409,"SELECT SUM(first_name)
FROM person 
WHERE year_born == 1935;
",2018-08-22 09:03:34.219155+10,1,0,240,noninterpretable
53,"SELECT COUNT(*) FROM (SELECT DISTINCT person.id FROM person,writer
WHERE person.id=writer.id AND person.year_born=1935);",2018-08-10 12:31:49.231881+10,1,1,12,correct
54,"SELECT COUNT(*) FROM (SELECT DISTINCT person.id FROM person,writer
WHERE person.id=writer.id AND person.year_born=1935);",2018-08-10 12:32:19.970559+10,1,1,12,correct
55,"SELECT COUNT(*) FROM (SELECT person.id FROM person,writer
WHERE person.id=writer.id AND person.year_born=1935);",2018-08-10 12:35:12.280294+10,1,0,12,partially correct
56,"SELECT production_year, COUNT(*) FROM movie 
WHERE production_year>=1991 AND production_year<=1993
GROUP BY production_year;",2018-08-10 12:48:24.607193+10,2,1,12,correct
57,"SELECT COUNT(*) FROM person
WHERE person.id NOT IN 
(SELECT director.id FROM director);",2018-08-10 12:51:54.063001+10,12,1,12,correct
58,"SELECT p.id, p.first_name, p.last_name FROM person p 
WHERE p.id IN
(SELECT d.id FROM director d, writer w
WHERE d.id=w.id AND d.title=w.title AND d.production_year=w.production_year
GROUP BY d.id
HAVING COUNT(*)>=2);",2018-08-10 13:01:57.66289+10,4,1,12,correct
59,"SELECT mw.title, mw.production_year
FROM (movie NATURAL JOIN writer NATURAL JOIN person) AS mw
WHERE mw.first_name='Kevin' AND mw.last_name='Williamson';",2018-08-10 13:08:43.24407+10,5,1,12,correct
60,"SELECT country FROM restriction
WHERE LOWER(title)='shakespeare in love' AND description='M';",2018-08-10 14:56:33.969809+10,6,1,12,correct
61,"SELECT id, first_name, last_name FROM person
WHERE year_born= (SELECT MAX(year_born) FROM person);
",2018-08-10 14:59:15.472475+10,7,1,12,correct
62,"SELECT title, production_year, first_name, last_name FROM (movie_award NATURAL JOIN director NATURAL JOIN person)
WHERE LOWER(award_name)='bafta film award' AND LOWER(category)='best film' AND LOWER(result)='won';",2018-08-10 15:05:45.500574+10,8,1,12,correct
63,"SELECT COUNT(*) FROM writer_award NATURAL JOIN person 
WHERE 
	LOWER(first_name)='woody' 
	AND LOWER(last_name)='allen' 
	AND LOWER(result)='won' 
	AND year_of_award>=1991 
	AND year_of_award<=1995;",2018-08-10 15:12:38.825937+10,9,1,12,correct
64,"SELECT COUNT(*) FROM writer_award NATURAL JOIN person 
WHERE 
	LOWER(first_name)='woody' 
	AND LOWER(last_name)='allen' 
	AND LOWER(result)='won';",2018-08-10 15:12:55.933048+10,9,1,12,correct
65,"SELECT COUNT(*) FROM writer_award NATURAL JOIN person 
WHERE 
	LOWER(first_name)='woody' 
	AND LOWER(last_name)='allen';",2018-08-10 15:13:06.079342+10,9,0,12,partially correct
66,"SELECT id FROM role NATURAL JOIN appearance
WHERE LOWER(title)='psycho' AND production_year=1960
GROUP BY id
HAVING COUNT(*)=1
EXCEPT
SELECT id FROM role NATURAL JOIN appearance
WHERE LOWER(title)!='psycho';
",2018-08-10 15:24:56.660332+10,10,0,12,partially correct
67,"SELECT id FROM role NATURAL JOIN appearance
WHERE LOWER(title)='psycho' AND production_year=1960
GROUP BY id
HAVING COUNT(*)=1;
",2018-08-10 15:25:14.53488+10,10,1,12,correct
68,"SELECT title, production_year FROM movie
EXCEPT
SELECT title, production_year FROM movie_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM crew_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM director_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM writer_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM actor_award WHERE LOWER(result)='won';",2018-08-10 15:30:59.995148+10,11,0,12,partially correct
69,"SELECT COUNT(*) FROM (
SELECT title, production_year FROM movie
EXCEPT
SELECT title, production_year FROM movie_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM crew_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM director_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM writer_award WHERE LOWER(result)='won'
EXCEPT
SELECT title, production_year FROM actor_award WHERE LOWER(result)='won');",2018-08-10 15:31:45.672595+10,11,1,12,correct
70,"SELECT id FROM person
WHERE year_born = 
	(SELECT MAX(year_born) FROM
		(SELECT id, year_born FROM person
		WHERE year_born!=(SELECT MAX(year_born) FROM person)) AS t1);

",2018-08-10 15:39:52.082944+10,3,1,12,correct
71,"SELECT id, award_name, year_of_award, category FROM director_award NATURAL JOIN director
WHERE id IN (
	SELECT id FROM director_award NATURAL JOIN director
	WHERE lower(result)='nominated'
	EXCEPT
	SELECT id FROM director_award NATURAL JOIN director
	WHERE lower(result)='won');",2018-08-10 15:49:06.016302+10,13,1,12,correct
72,"SELECT t1.id FROM 
	(SELECT id, COUNT(*) AS num FROM
	  (SELECT id, title, production_year FROM director
	  UNION
	  SELECT id, title, production_year FROM writer)
	GROUP BY id) as t1
WHERE t1.num=
  (SELECT MAX(num) FROM
	(SELECT id, COUNT(*) AS num FROM
	  (SELECT id, title, production_year FROM director
	  UNION
	  SELECT id, title, production_year FROM writer)
	GROUP BY id));",2018-08-10 16:09:30.925353+10,14,1,12,correct
73,"SELECT first_name, last_name, description FROM
role NATURAL JOIN person
WHERE id=
(SELECT id FROM
	(SELECT id, COUNT(*) AS num FROM role
	GROUP BY id)
WHERE num=
	(SELECT MAX(num) FROM
		(SELECT id, COUNT(*) AS num FROM role
		GROUP BY id)));

",2018-08-10 16:25:39.381005+10,15,0,12,partially correct
74,"SELECT first_name, last_name, title, production_year, description FROM
role NATURAL JOIN person
WHERE id=
(SELECT id FROM
	(SELECT id, COUNT(*) AS num FROM role
	GROUP BY id)
WHERE num=
	(SELECT MAX(num) FROM
		(SELECT id, COUNT(*) AS num FROM role
		GROUP BY id)));

",2018-08-10 16:26:42.70713+10,15,1,12,correct
75,"SELECT first_name, last_name, description FROM
role NATURAL JOIN person
WHERE id=
(SELECT id FROM
	(SELECT id, COUNT(*) AS num FROM role
	GROUP BY id)
WHERE num=
	(SELECT MAX(num) FROM
		(SELECT id, COUNT(*) AS num FROM role
		GROUP BY id)));

",2018-08-10 16:27:02.037079+10,15,0,12,partially correct
